:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
19,12421,20,12,4,MANHATTAN,Unspecified,Unspecified,,,,180       WEST 81 STREET                ,2017-09-30T00:00:00.000,40.784115,POINT (-73.97659 40.784115),,,,,-73.97659,0,0,0,0,0,0,0,0,,,13:50,3761511,PICK-UP TRUCK,PASSENGER VEHICLE,,,,10024
37,17214,42,53,2,BROOKLYN,Unspecified,,,,,236       ELDERT STREET                 ,2017-09-30T00:00:00.000,40.69129,POINT (-73.90858 40.69129),,,,,-73.90858,0,0,0,0,0,0,0,0,,,1:05,3761571,PASSENGER VEHICLE,,,,,11207
36,13095,18,20,4,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.814304,POINT (-73.940704 40.814304),,,,,-73.940704,0,0,0,0,0,0,0,0,,LENOX AVENUE                    ,0:05,3761551,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
41,24013,62,64,3,,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.679863,POINT (-73.83884 40.679863),,,,,-73.83884,1,0,0,0,0,0,1,0,101 STREET,ROCKAWAY BOULEVARD              ,22:45,3761582,BICYCLE,,,,,
34,15309,54,62,3,QUEENS,Unspecified,,,,,63-31     DRY HARBOR ROAD               ,2017-09-30T00:00:00.000,40.721336,POINT (-73.87387 40.721336),,,,,-73.87387,0,0,0,0,0,0,0,0,,,11:00,3761597,PASSENGER VEHICLE,,,,,11379
34,14788,54,62,3,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.71638,POINT (-73.89751 40.71638),,,,,-73.89751,0,0,0,0,0,0,0,0,,ELIOT AVENUE                    ,20:00,3761618,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
46,24669,41,71,3,,Driver Inexperience,Unspecified,,,,,2017-09-30T00:00:00.000,40.676647,POINT (-73.77816 40.676647),,,,,-73.77816,0,0,0,0,0,0,0,0,BREWER BOULEVARD,130 AVENUE                      ,11:00,3761687,SPORT UTILITY / STATION WAGON,,,,,
4,16860,39,72,3,QUEENS,Unspecified,,,,,,2017-09-30T00:00:00.000,40.76548,POINT (-73.913704 40.76548),,,,,-73.913704,0,0,0,0,0,0,0,0,STEINWAY STREET,28 AVENUE                       ,23:46,3761912,SPORT UTILITY / STATION WAGON,,,,,11103
38,17619,68,54,2,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.687344,POINT (-73.97985 40.687344),,,,,-73.97985,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,21:30,3760500,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
39,13092,47,22,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-30T00:00:00.000,40.862392,POINT (-73.91802 40.862392),,,,,-73.91802,0,0,0,0,0,0,0,0,9 AVENUE,WEST 205 STREET                 ,12:30,3761929,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10034
,,,,,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,FDR DRIVE,EAST 73 STREET                  ,18:45,3761974,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10021
25,17214,45,47,2,BROOKLYN,Unspecified,,,,,560       BELMONT AVENUE                ,2017-09-30T00:00:00.000,40.67162,POINT (-73.888794 40.67162),,,,,-73.888794,0,0,0,0,0,0,0,0,,,20:40,3762058,PASSENGER VEHICLE,,,,,11207
2,11605,29,30,5,,Unspecified,,,,,,2017-09-30T00:00:00.000,40.87683,POINT (-73.86472 40.87683),,,,,-73.86472,0,0,0,0,1,0,1,0,EAST GUN HILL ROAD,TILDEN STREET                   ,6:50,3761459,PASSENGER VEHICLE,,,,,
3,14190,22,67,3,QUEENS,Backing Unsafely,Unspecified,,,,142-27    FRANKLIN AVENUE               ,2017-09-30T00:00:00.000,40.75651,POINT (-73.82315 40.75651),,,,,-73.82315,0,0,0,0,0,0,0,0,,,11:30,3760325,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11355
43,11269,34,25,5,BRONX,,,,,,960       EAST 173 STREET               ,2017-09-30T00:00:00.000,40.83504,POINT (-73.88685 40.83504),,,,,-73.88685,0,0,0,0,1,0,1,0,,,13:20,3760306,,,,,,10460
44,13511,10,41,2,BROOKLYN,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.611034,POINT (-74.01349 40.611034),,,,,-74.01349,0,0,1,0,0,0,1,0,BENSON AVENUE,14 AVENUE                       ,13:20,3760284,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11228
,,,,,,Turning Improperly,Unspecified,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,E BURNSIDE AVENUE ,UNIVERSITY AVENUE               ,11:10,3760274,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
41,24013,46,60,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.681046,POINT (-73.849304 40.681046),,,,,-73.849304,0,0,2,0,0,0,2,0,90 STREET,103 AVENUE                      ,16:30,3761307,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11416
8,13827,5,42,2,BROOKLYN,,,,,,742       EAST 87 STREET                ,2017-09-30T00:00:00.000,40.63986,POINT (-73.909355 40.63986),,,,,-73.909355,0,0,0,0,0,0,0,0,,,10:00,3761221,SPORT UTILITY / STATION WAGON,,,,,11236
17,13516,69,52,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,1961      FULTON STREET                 ,2017-09-30T00:00:00.000,40.678604,POINT (-73.9167 40.678604),,,,,-73.9167,0,0,0,0,0,0,0,0,,,19:10,3761155,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11233
44,17216,10,41,2,BROOKLYN,Backing Unsafely,Unspecified,,,,360       BAY RIDGE PARKWAY             ,2017-09-30T00:00:00.000,40.63108,POINT (-74.02623 40.63108),,,,,-74.02623,0,0,0,0,0,0,0,0,,,8:30,3760122,SPORT UTILITY / STATION WAGON,,,,,11209
42,10930,50,27,5,,Unsafe Lane Changing,Unspecified,,,,,2017-09-30T00:00:00.000,40.840286,POINT (-73.92147 40.840286),,,,,-73.92147,0,0,0,0,0,0,0,0,,GRANT HIGHWAY                   ,1:30,3760073,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
33,14787,53,66,3,,Tire Failure/Inadequate,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,40.746235,POINT (-73.89895 40.746235),,,,,-73.89895,0,0,0,0,0,0,0,0,,39 AVENUE                       ,4:30,3760125,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
18,13513,2,39,2,BROOKLYN,Unspecified,,,,,,2017-09-30T00:00:00.000,40.61415,POINT (-73.97291 40.61415),,,,,-73.97291,0,0,0,0,0,0,0,0,EAST 2 STREET,AVENUE N                        ,1:10,3761004,PASSENGER VEHICLE,,,,,11230
